name,brand,ingredients
CeraVe AM Facial Moisturising Lotion SPF 30,CeraVe,
La Roche-Posay Toleriane Double Repair UV SPF 30,La Roche-Posay,
Neutrogena Hydro Boost Water Gel,Neutrogena,
Nivea Q10 Anti-Wrinkle Day Cream SPF 15,Nivea,
Nivea Essentials Day Cream SPF 15,Nivea,
Olay Regenerist Micro-Sculpting Cream,Olay,
Clinique Moisture Surge 100H,Clinique,
L'Oreal Paris Revitalift Day Cream,L'Oreal Paris,
Garnier Vitamin C Day Cream,Garnier,
Eucerin Hyaluron-Filler Day Cream SPF 15,Eucerin,
Avene Hydrance Rich,Avene,
Bioderma Hydrabio Cream,Bioderma,
Vichy Liftactiv Collagen Specialist Day Cream,Vichy,
The Ordinary Natural Moisturizing Factors + HA,The Ordinary,
Cetaphil Daily Facial Moisturizer SPF 15,Cetaphil,
Simple Kind to Skin Hydrating Light Moisturiser,Simple,
No7 Protect & Perfect Intense Advanced Day Cream,No7,
Aveeno Positively Radiant Daily Moisturizer SPF 15,Aveeno,
Kiehl's Ultra Facial Cream,Kiehl's,
Embryolisse Lait-Creme Concentre,Embryolisse,
